"net_tfa","age","inc","educ","fsize","marr","twoearn","db","pira","hown","p401","e401"
0,47,6765,8,2,0,0,0,0,1,0,0
1015,36,28452,16,1,0,0,0,0,1,0,0
-2000,37,3300,12,6,0,0,1,0,0,0,0
15000,58,52590,16,2,1,1,0,0,1,0,0
0,32,21804,11,1,0,0,0,0,1,0,0
27800,34,34680,16,1,0,0,0,1,1,0,0
2913,28,21600,12,3,1,1,0,1,1,0,0
-650,54,4686,11,3,0,0,0,0,1,0,0
37279,43,65820,14,2,1,1,1,1,1,0,0
1900,32,37260,18,3,1,0,0,0,1,0,0
783,52,15306,12,3,1,0,0,0,1,0,0
-10000,30,58413,18,4,1,1,0,0,0,0,0
-740,63,21630,15,2,0,0,0,0,1,0,0
0,38,30600,18,1,1,0,0,0,0,0,0
-4700,32,33414,13,4,1,1,0,0,0,0,0
-1000,29,14580,12,3,0,0,0,0,0,0,0
-16901,40,57477,17,4,1,1,1,0,1,0,0
2000,30,46008,10,4,1,0,0,0,1,0,0
0,44,3825,12,1,0,0,0,0,0,0,0
0,57,5220,18,1,0,0,1,0,0,0,0
-800,42,9120,10,5,0,0,0,0,1,0,0
52900,41,69693,16,4,1,1,0,1,1,0,0
-9940,39,52110,16,1,0,0,1,0,0,0,0
0,53,30000,12,3,1,0,0,0,1,0,0
2000,64,26826,12,1,0,0,0,0,1,0,0
0,37,10524,14,3,0,0,0,0,0,0,0
0,62,33228,12,2,1,1,0,0,0,0,0
-2238,55,60528,12,2,1,0,0,0,1,0,0
-2797,39,13512,12,3,1,1,1,0,1,0,0
97664,58,44640,12,1,0,0,0,1,1,0,0
-500,43,14280,4,4,1,0,0,0,0,0,0
-4700,37,28134,13,3,1,0,0,0,0,0,0
249,31,14931,16,1,0,0,0,0,1,0,0
400,25,26535,14,2,1,0,0,0,0,0,0
-3000,39,48360,13,4,1,1,0,0,1,0,0
5000,41,31635,13,2,0,0,0,0,1,0,0
24654,52,40041,14,3,0,0,0,0,1,0,0
-5000,43,22410,12,1,0,0,1,0,0,0,0
700,37,27072,9,5,1,1,0,0,0,0,0
0,47,21420,13,1,0,0,0,0,1,0,0
3550,57,34410,15,3,1,1,0,0,1,0,0
-3900,36,23700,12,4,1,1,0,0,1,0,0
-7350,30,19950,14,3,1,0,0,0,0,0,0
-2450,29,23274,12,3,0,0,0,0,0,0,0
41800,54,20019,13,3,1,0,0,1,1,0,0
-200,47,1200,15,2,0,0,0,0,0,0,0
16597,51,85980,18,2,1,0,0,1,1,0,0
4883,44,26472,12,4,1,0,0,0,1,0,0
8300,61,37911,12,5,1,1,0,0,1,0,0
-550,30,15822,15,4,1,0,0,0,1,0,0
11730,48,77913,14,2,1,1,1,0,1,0,0
90550,39,159696,16,2,1,1,0,1,1,0,0
-5500,36,25200,12,4,0,0,0,0,0,0,0
9918,39,23046,14,1,0,0,0,1,1,0,0
-120,26,15450,12,3,0,0,0,0,1,0,0
2050,37,25920,18,1,0,0,0,0,0,0,0
-3900,37,13839,16,1,0,0,0,0,1,0,0
-1002,32,10164,12,5,0,0,0,0,1,0,0
-3600,30,27624,12,1,0,0,1,0,1,0,0
-12465,50,41217,7,4,1,1,0,0,1,0,0
-6994,45,35565,12,3,0,0,0,0,0,0,0
-10275,30,57000,14,2,1,1,0,0,1,0,0
5000,41,54852,12,5,1,1,1,0,1,0,0
