"gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id"
"female","cauc",1980 Q1,"kindergarten","small",447,473,"non-free","rural","bachelor","level1",7,"cauc","30","63","1137"
"female","afam",1979 Q4,"kindergarten","small",450,536,"non-free","suburban","bachelor","level1",21,"cauc","11","20","1143"
"male","afam",1980 Q1,"kindergarten","regular+aide",439,463,"free","inner-city","bachelor","probation",0,"cauc","11","19","1183"
"male","cauc",1980 Q2,"kindergarten","regular",448,559,"non-free","rural","bachelor","level1",16,"cauc","35","69","1277"
"male","cauc",1980 Q2,"kindergarten","small",447,489,"free","rural","bachelor","level1",5,"cauc","41","79","1292"
"male","cauc",1980 Q2,"kindergarten","regular",431,454,"free","rural","bachelor","level1",8,"cauc","4","5","1308"
"female","afam",1980 Q2,"kindergarten","regular+aide",395,423,"free","inner-city","master","level1",17,"cauc","11","16","1324"
"female","cauc",1980 Q1,"kindergarten","regular",451,500,"non-free","rural","bachelor","apprentice",3,"afam","24","56","1441"
"female","afam",1980 Q3,"kindergarten","small",478,439,"non-free","rural","bachelor","level1",11,"cauc","8","11","1465"
"female","cauc",1980 Q3,"kindergarten","small",455,528,"non-free","rural","bachelor","level1",10,"cauc","32","66","1499"
"male","cauc",1980 Q1,"kindergarten","regular",430,473,"non-free","rural","master","level1",13,"cauc","14","38","1552"
"male","cauc",1980 Q3,"kindergarten","regular+aide",437,468,"non-free","rural","master","level1",6,"cauc","35","69","1561"
"male","cauc",1980 Q1,"kindergarten","small",474,559,"non-free","suburban","bachelor","probation",0,"cauc","18","43","1617"
"male","cauc",1980 Q1,"kindergarten","small",424,494,"non-free","rural","bachelor","level1",6,"cauc","36","71","1632"
"male","cauc",1979 Q3,"kindergarten","regular+aide",490,528,"non-free","suburban","bachelor","level1",18,"cauc","22","52","1641"
"male","cauc",1980 Q3,"kindergarten","regular",439,484,"non-free","suburban","master","level1",13,"cauc","22","54","1659"
"female","cauc",1979 Q4,"kindergarten","regular+aide",424,459,"free","rural","bachelor","level1",12,"cauc","9","12","1670"
"female","afam",1980 Q3,"kindergarten","regular",437,528,"free","suburban","bachelor","apprentice",1,"afam","11","21","1690"
"female","cauc",1980 Q2,"kindergarten","small",422,478,"non-free","rural","master","level1",8,"cauc","40","76","1725"
"male","cauc",1979 Q4,"kindergarten","regular",424,559,"free","rural","bachelor","level1",13,"cauc","41","79","1735"
"male","cauc",1980 Q2,"kindergarten","regular",431,454,"non-free","rural","master","level1",13,"cauc","6","8","1804"
"male","cauc",1980 Q1,"kindergarten","regular+aide",451,473,"non-free","rural","bachelor","level1",3,"cauc","32","66","1855"
"male","cauc",1980 Q1,"kindergarten","small",456,602,"free","urban","master","level1",14,"cauc","26","59","1873"
"female","afam",1980 Q2,"kindergarten","regular+aide",421,459,"free","inner-city","bachelor","level1",11,"cauc","11","31","1916"
"male","afam",1980 Q2,"kindergarten","regular+aide",463,576,"free","inner-city","bachelor","level1",10,"afam","11","27","1934"
"female","afam",1980 Q1,"kindergarten","regular+aide",425,520,"non-free","suburban","bachelor","level1",8,"afam","11","17","1952"
"female","cauc",1979 Q4,"kindergarten","regular",522,559,"non-free","urban","bachelor","level1",8,"cauc","6","9","1958"
"female","cauc",1980 Q2,"kindergarten","regular+aide",413,459,"non-free","rural","master","level1",5,"cauc","15","39","1980"
"male","cauc",1980 Q3,"kindergarten","regular",416,513,"non-free","rural","master","level1",13,"cauc","23","55","1993"
"female","afam",1980 Q4,"kindergarten","regular",419,423,"free","inner-city","bachelor","probation",0,"afam","11","27","2054"
"female","cauc",1980 Q3,"kindergarten","regular+aide",431,494,"non-free","suburban","bachelor","level1",3,"cauc","25","58","2074"
"male","cauc",1980 Q3,"kindergarten","small",418,439,"non-free","rural","bachelor","level1",8,"cauc","21","49","2137"
"female","afam",1980 Q1,"kindergarten","regular",422,434,"free","rural","master","level1",15,"cauc","5","7","2161"
"female","afam",1980 Q1,"kindergarten","small",414,434,"free","rural","bachelor","level1",8,"cauc","4","5","2193"
"female","cauc",1980 Q1,"kindergarten","regular",450,484,"non-free","rural","bachelor","level1",10,"cauc","35","70","2321"
"female","cauc",1980 Q1,"kindergarten","small",458,559,"free","rural","bachelor","level1",4,"cauc","16","40","2336"
"female","cauc",1980 Q2,"kindergarten","small",445,459,"non-free","urban","master","level1",7,"cauc","6","9","2350"
"male","cauc",1980 Q1,"kindergarten","small",439,506,"non-free","urban","master","level1",17,"cauc","20","48","2384"
"male","cauc",1979 Q3,"kindergarten","small",476,576,"non-free","urban","master+","level1",12,"cauc","7","10","2393"
"female","cauc",1980 Q4,"kindergarten","regular",467,484,"non-free","rural","master","level1",4,"cauc","42","80","2439"
"female","afam",1979 Q4,"kindergarten","regular+aide",416,434,"free","inner-city","master","level1",10,"afam","11","28","2486"
"male","cauc",1980 Q2,"kindergarten","small",480,528,"non-free","suburban","bachelor","probation",0,"cauc","18","43","2508"
"female","cauc",1980 Q3,"kindergarten","regular+aide",437,478,"non-free","suburban","bachelor","level1",16,"cauc","17","41","2554"
"male","cauc",1980 Q1,"kindergarten","small",465,602,"non-free","suburban","master","level1",18,"cauc","17","41","2591"
"female","cauc",1979 Q4,"kindergarten","small",407,439,"free","rural","bachelor","level1",4,"cauc","16","40","2647"
